60sec,Bid_Price_Open,Bid_Price_Close,Ask_Price_Open,Ask_Price_Close,Midprice_Open,Midprice_Close,Midprice_Average,Dmid_tick,Spread_tick,VolImb,Trades,Volume,Buy_Trades,Sell_Trades,TFI
0,2231800,2238600,2239500,2243500,2235650.0,2241050.0,2240913.573407202,54.0,30.049861495844876,-0.5052309075638338,90,6364,67,23,0.4888888888888889
1,2238600,2235000,2243500,2237000,2241050.0,2236000.0,2238066.222222222,-50.5,28.302222222222223,-0.18640429415876802,23,1054,6,17,-0.4782608695652174
2,2235000,2235000,2237000,2238200,2236000.0,2236600.0,2238806.3981042653,6.0,39.95734597156398,0.08512872054234506,26,1369,16,10,0.23076923076923078
3,2235000,2240000,2238200,2242000,2236600.0,2241000.0,2238009.935897436,44.0,32.66025641025641,0.21640170575634088,28,1565,25,3,0.7857142857142857
4,2240000,2241200,2242000,2243200,2241000.0,2242200.0,2244167.987804878,12.0,25.38821138211382,-0.4632010946214574,37,2232,23,14,0.24324324324324326
5,2241200,2238800,2243200,2241300,2242200.0,2240050.0,2240407.2580645164,-21.5,22.546082949308754,-0.08028885454197131,19,1352,8,11,-0.15789473684210525
6,2238800,2240400,2241300,2241700,2240050.0,2241050.0,2239506.111111111,10.0,29.2,-0.1217253833969066,9,819,5,4,0.1111111111111111
7,2240400,2240800,2241700,2242000,2241050.0,2241400.0,2241033.0303030303,3.5,15.521212121212121,0.007792494532668022,12,700,4,8,-0.3333333333333333
8,2240800,2236000,2242000,2239800,2241400.0,2237900.0,2239665.349544073,-35.0,24.243161094224924,0.0009594969247118103,21,1635,1,20,-0.9047619047619048
9,2236000,2237700,2240000,2241600,2238000.0,2239650.0,2240044.3661971833,16.5,26.183098591549296,-0.04534537863003063,5,451,5,0,1.0
10,2237700,2241200,2241700,2245000,2239700.0,2243100.0,2240491.6666666665,34.0,33.56296296296296,0.06554692666290692,39,2730,36,3,0.8461538461538461
11,2241200,2238600,2245000,2241800,2243100.0,2240200.0,2241574.5696400627,-29.0,25.760563380281692,0.07514347487157674,12,519,5,7,-0.16666666666666666
12,2238600,2238600,2241800,2239900,2240200.0,2239250.0,2238587.8174976483,-9.5,25.156161806208843,0.02307208003586186,19,1161,11,8,0.15789473684210525
13,2238600,2237000,2239900,2240000,2239250.0,2238500.0,2238543.0,-7.5,26.1175,0.014568440221952634,8,501,3,5,-0.25
14,2237000,2236500,2240000,2239200,2238500.0,2237850.0,2237751.610738255,-6.5,29.76510067114094,0.019127020059571172,7,618,6,1,0.7142857142857143
15,2236500,2235100,2239100,2236900,2237800.0,2236000.0,2236778.103837472,-18.0,17.636568848758465,0.05467734599069326,17,1825,8,9,-0.058823529411764705
16,2235100,2236600,2236900,2237300,2236000.0,2236950.0,2236431.7002881845,9.5,14.651296829971182,-0.30295158535686106,4,210,4,0,1.0
17,2236600,2236600,2237300,2238100,2236950.0,2237350.0,2237219.063180828,4.0,12.485838779956428,-0.23190421138671533,20,2412,16,4,0.6
18,2236600,2239600,2238100,2241000,2237350.0,2240300.0,2238333.9325842694,29.5,14.795505617977527,-0.17778258997504887,12,469,12,0,1.0
19,2239600,2237400,2241000,2240200,2240300.0,2238800.0,2238663.5185185187,-15.0,20.696296296296296,-0.18283942690811794,8,470,5,3,0.25
20,2237400,2238600,2240200,2239600,2238800.0,2239100.0,2238901.6812865497,3.0,17.56578947368421,-0.1439810390562515,10,833,9,1,0.8
21,2238600,2238100,2239400,2240000,2239000.0,2239050.0,2238594.09190372,0.5,17.855579868708972,-0.14158665004640283,14,902,10,4,0.42857142857142855
22,2238100,2243600,2240000,2245000,2239050.0,2244300.0,2241582.067039106,52.5,17.353072625698324,-0.27391622329935217,31,4236,31,0,1.0
23,2243600,2242900,2245000,2245000,2244300.0,2243950.0,2243969.8457223,-3.5,14.807854137447405,-0.05773159073656074,18,1319,14,4,0.5555555555555556
24,2242900,2241400,2245000,2243100,2243950.0,2242250.0,2244047.9299363056,-17.0,16.0828025477707,-0.14936250197179174,47,3713,31,16,0.3191489361702128
25,2241400,2242200,2243100,2243500,2242250.0,2242850.0,2242674.7247706424,6.0,19.263302752293576,0.02579700115698881,33,1817,30,3,0.8181818181818182
26,2242200,2242100,2243500,2243900,2242850.0,2243000.0,2242667.7437641723,1.5,13.39795918367347,0.005356426978639928,23,2444,15,8,0.30434782608695654
27,2242100,2243300,2243700,2244300,2242900.0,2243800.0,2243393.208279431,9.0,14.503234152652006,-0.07481267676837622,17,1472,11,6,0.29411764705882354
28,2243300,2243800,2244300,2245000,2243800.0,2244400.0,2244547.3484848486,6.0,15.784090909090908,-0.23415085521068846,13,806,11,2,0.6923076923076923
29,2243800,2241700,2245000,2243500,2244400.0,2242600.0,2243112.278978389,-18.0,18.111984282907663,-0.1919985274767209,28,2157,1,27,-0.9285714285714286
30,2241700,2233700,2243500,2235700,2242600.0,2234700.0,2237954.5849802373,-79.0,18.49881422924901,-0.1258751459801582,67,3525,18,49,-0.4626865671641791
31,2233700,2236000,2235700,2238800,2234700.0,2237400.0,2237008.50305499,27.0,20.0010183299389,0.23802165321031363,26,1052,21,5,0.6153846153846154
32,2236000,2235500,2238800,2237300,2237400.0,2236400.0,2237491.521394612,-10.0,19.019017432646592,0.5063670476736084,14,607,2,12,-0.7142857142857143
33,2235500,2235200,2237300,2237500,2236400.0,2236350.0,2235455.4391217567,-0.5,18.124750499001998,0.1324820666640234,26,3611,9,17,-0.3076923076923077
34,2235200,2234500,2237500,2235000,2236350.0,2234750.0,2235335.534591195,-16.0,14.330188679245284,0.11774219895913171,28,2248,6,22,-0.5714285714285714
35,2234500,2232500,2235000,2234600,2234750.0,2233550.0,2234525.2533125486,-12.0,13.474668745128605,-0.10530253587334938,79,7427,51,28,0.2911392405063291
36,2232500,2234100,2234600,2235000,2233550.0,2234550.0,2234478.0858676205,10.0,16.067978533094813,-0.1662048220846452,38,3561,15,23,-0.21052631578947367
